epoch,training_loss,val_loss
0,0.0728130042552948,0.334399551153183
1,0.0695197731256485,0.3279424011707306
2,0.06631220132112503,0.32156556844711304
3,0.06318780779838562,0.3152643144130707
4,0.06014474481344223,0.3090335428714752
5,0.05718105286359787,0.3028676211833954
6,0.054294656962156296,0.2967604696750641
7,0.051483288407325745,0.2907048463821411
8,0.04874447360634804,0.28469276428222656
9,0.0460757277905941,0.2787160277366638
10,0.04347475990653038,0.27276596426963806
11,0.04093971103429794,0.2668345272541046
12,0.038469329476356506,0.2609141170978546
13,0.03606312721967697,0.25499799847602844
14,0.03372149541974068,0.2490803599357605
15,0.03144579008221626,0.2431565821170807
16,0.029238425195217133,0.2372235208749771
17,0.027102956548333168,0.23127958178520203
18,0.025044169276952744,0.22532516717910767
19,0.023068176582455635,0.21936309337615967
20,0.021182507276535034,0.21339912712574005
21,0.01939617469906807,0.20744265615940094
22,0.01771969348192215,0.20150761306285858
23,0.01616498827934265,0.1956133246421814
24,0.014745170250535011,0.18978577852249146
25,0.013474054634571075,0.18405887484550476
26,0.0123653719201684,0.17847567796707153
27,0.01143152080476284,0.17308975756168365
28,0.010681774467229843,0.16796591877937317
29,0.010119917802512646,0.16318021714687347
30,0.009741442278027534,0.15881802141666412
31,0.009530844166874886,0.15496943891048431
32,0.009460012428462505,0.15172064304351807
33,0.009489238262176514,0.14914149045944214
34,0.009572038426995277,0.14727109670639038
35,0.009663592092692852,0.14610688388347626
36,0.009730003774166107,0.14560121297836304
37,0.009754231199622154,0.1456679254770279
38,0.00973601546138525,0.14619486033916473
39,0.009686693549156189,0.1470583975315094
40,0.009622100740671158,0.148136168718338
41,0.009556696750223637,0.14931648969650269
42,0.009500337764620781,0.15050455927848816
43,0.009457601234316826,0.15162524580955505
44,0.009428732097148895,0.15262344479560852
45,0.009411230683326721,0.15346293151378632
46,0.009401410818099976,0.15412387251853943
47,0.009395564906299114,0.1546003669500351
48,0.009390687569975853,0.15489745140075684
49,0.00938477274030447,0.15502862632274628
