epoch,training_loss,val_loss
0,0.3050071597099304,0.05682390183210373
1,0.3040222227573395,0.056427232921123505
2,0.3035323917865753,0.05601871758699417
3,0.3031063377857208,0.055631574243307114
4,0.30272114276885986,0.055273715406656265
5,0.30236944556236267,0.054946113377809525
6,0.30204662680625916,0.05464743822813034
7,0.30174916982650757,0.05437561124563217
8,0.30147409439086914,0.05412845313549042
9,0.30121883749961853,0.053903885185718536
10,0.30098116397857666,0.0537000335752964
11,0.30075910687446594,0.05351518839597702
12,0.3005508780479431,0.05334779992699623
13,0.3003547787666321,0.053196508437395096
14,0.3001692593097687,0.05306003987789154
15,0.29999297857284546,0.05293728783726692
16,0.2998245358467102,0.052827201783657074
17,0.2996625304222107,0.052728861570358276
18,0.2995058000087738,0.05264141410589218
19,0.29935312271118164,0.0525640994310379
20,0.2992033362388611,0.052496228367090225
21,0.29905515909194946,0.052437178790569305
22,0.29890763759613037,0.05238639563322067
23,0.29875946044921875,0.05234338715672493
24,0.2986094653606415,0.05230771750211716
25,0.29845646023750305,0.05227901041507721
26,0.2982991933822632,0.05225694552063942
27,0.29813626408576965,0.05224128067493439
28,0.297966331243515,0.05223182588815689
29,0.2977879047393799,0.052228428423404694
30,0.297599196434021,0.052231043577194214
31,0.2973985970020294,0.05223967134952545
32,0.29718413949012756,0.05225440114736557
33,0.29695361852645874,0.0522754043340683
34,0.2967047095298767,0.05230295658111572
35,0.2964347302913666,0.052337437868118286
36,0.29614076018333435,0.05237936973571777
37,0.2958194613456726,0.05242941901087761
38,0.29546716809272766,0.052488408982753754
39,0.2950798273086548,0.052557364106178284
40,0.2946528196334839,0.05263754352927208
41,0.2941811978816986,0.05273042619228363
42,0.293659508228302,0.052837759256362915
43,0.2930818498134613,0.05296153575181961
44,0.29244208335876465,0.0531039722263813
45,0.29173392057418823,0.05326744168996811
46,0.29095110297203064,0.05345424637198448
47,0.29008790850639343,0.053666308522224426
48,0.28913941979408264,0.05390464514493942
49,0.2881017029285431,0.05416853725910187
50,0.28697171807289124,0.054454486817121506
51,0.28574591875076294,0.05475524440407753
52,0.28441810607910156,0.055059075355529785
53,0.2829757034778595,0.055350203067064285
54,0.2813955843448639,0.05561082065105438
55,0.27964022755622864,0.055824778974056244
56,0.2776542901992798,0.05598247051239014
57,0.27536091208457947,0.05608593299984932
58,0.27265632152557373,0.05615398660302162
59,0.26940110325813293,0.0562279149889946
60,0.26541128754615784,0.05637655407190323
61,0.2604592442512512,0.0566900260746479
62,0.2542993426322937,0.057239048182964325
63,0.24671746790409088,0.05803653597831726
64,0.2375553995370865,0.059183258563280106
65,0.22668111324310303,0.060921527445316315
66,0.2139599770307541,0.06275677680969238
67,0.19934599101543427,0.06332356482744217
68,0.18335802853107452,0.061123598366975784
69,0.16809743642807007,0.05486837774515152
